题型,试题内容,选项A,选项B,选项C,选项D,选项E,答案
单选题,以下说法中错误的是（   ）。,中国特色社会主义写出了科学社会主义的“新版本”,中国特色社会主义采用了马克思主义经典作家设想的样板,社会主义并没有定于一尊、一成不变的套路,中国特色社会主义坚持了科学社会主义基本原则,,B
单选题,改革开放以来，我们取得一切成绩和进步的根本原因中，（   ）是根本保障。,中国特色社会道路,中国特色社会主义理论体系,中国特色社会制度,中国特色社会文化,,C
单选题,我们党作出中国特色社会主义进入新时代重大判断的基本依据是（   ）。,党的十八大胜利召开,“东升西落”的国际局势,全面建成小康社会任务的完成,我国社会主要矛盾发生变化,,D
单选题,下列关于我国社会主要矛盾的说法中，不正确的是（   ）。,新时代我国社会主要矛盾的变化，明确了解决当代中国发展问题的根本着力点,新时代我国社会主要矛盾的变化，意味着跨越了社会主义初级阶段,新时代我国社会主要矛盾的变化，对党和国家工作提出了许多新要求,新时代我国社会主要矛盾的变化，是关系全局的历史性变化,,B
单选题,新时代我国社会主要矛盾是（   ）之间的矛盾。,人民日益增长的物质文化需要和不平衡和不充分的发展,人民日益增长的物质文化需要和落后的社会生产,人民日益增长的美好生活需要和不平衡和不充分的发展,人民日益增长的美好生活需要和落后的社会生产,,C
单选题,改革开放和社会主义现代化建设深入推进，书写了（   ）两大奇迹新篇章。,经济快速发展和国际地位提升,经济快速发展和社会长期稳定,实现全面小康和国际地位提升,实现全面小康和社会长期稳定,,B
单选题,“四个全面”战略布局中，（   ）居于统领地位。,全面建设社会主义现代化,全面深化改革,全面依法治国,全面从严治党,,A
多选题,科学社会主义的主张受到中国人民热烈欢迎，并最终扎根中国大地、开花结果，是因为（   ）。,中国共产党人的理论宣传卓有成效,回答了近代以来中华民族面临的历史性课题,指明了实现伟大复兴的正确道路,同我国优秀历史文化具有高度的契合性,,BCD
多选题,以下属于新的历史条件下，体现科学社会主义基本原则的内容有（   ）。,以经济建设为中心，坚持四项基本原则，坚持改革开放,解放和发展社会生产力,促进人的全面发展，逐步实现全体人民共同富裕,坚持人民代表大会制度的根本政治制度,,ABCD
多选题,改革开放以来，我们取得一切成绩和进步的根本原因，归结起来就是（   ）。,开辟了中国特色社会道路,形成了中国特色社会主义理论体系,确立了中国特色社会主义制度,发展了中国特色社会主义文化,,ABCD
多选题,党的（   ），事关党的前途命运，事关中国特色社会主义事业兴衰成败。,基本理论,基本路线,基本政策,基本方略,,ABD
多选题,中国特色社会主义进入新时代，（   ）。,是我们党领导人民不懈奋斗的必然结果,是我国社会主要矛盾发生新变化的反映,是党的主要任务发生新变化的反映,是中国和世界关系发生新变化的反映,,ABCD
单选题,一百年来，中国共产党团结带领中国人民进行的一切奋斗、一切牺牲、一切创造，归结起来就是一个主题：（   ）。,建立新中国,实现全体人民共同富裕,实现中华民族伟大复兴,实现人民对美好生活的向往,,C
单选题,中国梦归根到底是（   ），必须紧紧依靠人民来实现，必须不断为人民造福。,国家的梦,人民的梦,民族的梦,世界的梦,,B
单选题,中华民族伟大复兴的中国梦是（   ）相统一的梦。,国家情怀、民族情怀、人民情怀,国家情怀、民族情怀、社会情怀,民族情怀、世界情怀、人民情怀,国家情怀、家庭情怀、人民情怀,,A
单选题,实现中国梦必须凝聚中国力量，这就是（   ）。,各族人民大团结的力量,中国共产党的领导力量,中高速增长的经济力量,保障有力的军事力量,,A
单选题,从全面建设社会主义现代化国家进程的阶段安排看来，到2035年，我国将（   ）。,全面建成小康社会,实现中华民族伟大复兴的中国梦,把我国建设成为富强美丽文明和谐的社会现代化强国,基本实现社会主义现代化,,D
单选题,党的二十大报告指出，从现在起，中国共产党的中心任务就是团结带领全国各族人民全面建成社会主义现代化强国、以（   ）全面推进中华民族伟大复兴。,经济建设为中心,四项基本原则,中国式现代化,全面深化改革,,C
单选题,中国式现代化是中国共产党领导的社会主义现代化，既有各国现代化的共同特征，更有（   ）的中国特色。,基于自己国情,基于改革开放,基于新时代特点,基于强起来,,A
单选题,新民主主义革命时期，我们党团结带领人民进行革命斗争，取得新民主主义革命的胜利，为实现现代化创造了（   ）。,根本社会条件,根本政治前提,根本制度基础,根本物质基础,,A
单选题,中国式现代化是（   ）的社会主义现代化，这是对中国式现代化的定性，是管总、管根本的。,全体人民共同富裕,中国共产党领导,坚持以人民为中心,基于中国国情,,B
单选题,中国式现代化是（   ）的现代化。这是中国式现代化区别于西方现代化的显著标志。,全体人民共同富裕,人口规模巨大的现代化,物质文明和精神文明相协调,人与自然和谐共生,,A
单选题,西方现代化的最大弊端，就是（   ），追求资本利益最大化，导致贫富差距大、两极分化严重。,以经济效益为中心,以财富为中心,以自由为中心,以资本为中心,,D
多选题,党的二十大指出，新时代新征程中国共产党的中心任务，就是（   ）。,团结带领全国各族人民全面建成社会主义现代化强国,实现第二个百年奋斗目标,以中国式现代化全面推进中华民族伟大复兴,贯彻新发展理念，促进高质量发展,,ABC
多选题,实现中华民族伟大复兴的中国梦，本质是（   ）。,国家富强,社会和谐,民族振兴,人民幸福,,ACD
多选题,中国式现代化的特征是（   ）。,人口规模巨大的现代化,全体人民共同富裕的现代化,物质文明和精神文明相协调的现代化,人与自然和谐共生的现代化,走和平发展道路的现代化,ABCDE
多选题,中国式现代化的本质要求包括（   ）。,坚持中国共产党领导,坚持中国特色社会主义,实现高质量发展,发展全过程人民民主,,ABCD
多选题,推进中国式现代化需要牢牢把握的重大原则包括（   ）。,坚持深化改革开放,坚持中国特色社会主义道路,坚持以人民为中心的发展思想,坚持发扬斗争精神,,ABCD
多选题,推进中国式现代化需要正确处理的重大关系有（   ）。,正确处理顶层设计与实践探索的关系,正确处理战略与策略的关系,正确处理守正与创新的关系,正确处理效率与公平的关系,,ABCD
单选题,习近平指出：“一定要认清，中国最大的国情就是（   ）。什么是中国特色？这就是中国特色。”,人口14亿,中国共产党的领导,人均GDP世界第二,以人民为中心,,B
单选题,（   ）是中国特色社会主义最本质的特征。,以经济建设为中心,以人为本,五位一体总体布局,中国共产党的领导,,D
单选题,（   ）是党的领导的最高原则，是党保持团结统一和强大战斗力、不断取得胜利的关键所在。,民主集中制,党中央集中统一领导,群众路线,实事求是,,B
单选题,（   ）是我国的根本领导制度，具有统领地位。,党的组织原则,党的政治原则,党的领导制度,党的性质宗旨,,C
单选题,维护党中央权威和集中统一领导，最关键的是（   ）。,坚决维护习近平同志党中央的核心、全党的核心地位,实行民主集中制,修改党章，加强党中央权力,严明政治纪律,,A
单选题,中国共产党是以（   ）为根本组织原则和领导制度的马克思主义政党。,群众路线,民主集中制,党章,政治纪律,,B
单选题,（   ）是马克思主义政党第一位的能力。,政治领导力,思想引领力,群众组织力,社会号召力,,A
单选题,我国社会主义政治制度优越性的一个突出特点是党总揽全局、协调各方的领导核心作用，形象地说是“众星捧月”，这个“月”就是（   ）。,中国共产党,人民政协,国家机关,民主党派,,A
单选题,党的十九届六中全会通过的《中共中央关于党的百年奋斗重大成就和历史经验的决议》总结了中国共产党百年奋斗的历史经验，其中第一条是（   ）。,坚持党的领导,坚持人民立场,坚持英勇斗争,坚持宽阔视野,,A
单选题,（   ）是人民当家作主的可靠保障，关系中国特色社会主义的性质、方向和命运。,中国共产党指导,中国共产党组织,中国共产党领导,中国共产党监督,,C
多选题,党的领导，是（   ）。,党和国家的根本所在、命脉所在,全国各族人民的利益所系、幸福所系,中国特色社会主义最本质的特征,中国特色社会主义制度的最大优势,,ABCD
多选题,下列说法正确的是（   ）。,中国共产党是最高政治领导力量,党的领导是全面的、系统的、整体的,党在各种风险挑战中发挥了中流砥柱的作用,党的领导制度是我国的根本领导制度,,ABCD
多选题,中国共产党作为最高政治领导力量是由我国（   ）决定的。,国家性质,政治制度体系,经济基础,经济制度,,AB
多选题,党的领导是全面的、系统的、整体的，意味着（   ）。,党组织包揽包办一切、事无巨细什么都去管,党组织在各级各种组织中发挥领导核心作用，既善于总揽全局，又善于协调各方,不断增强党组织的领导统筹能力，充分调动方方面面的工作积极性,使党的领导作用贯穿于工作全过程,,BCD
多选题,党在推进各项事业发展中发挥着（   ）的作用，通过总揽全局、协调各方，把党的领导落实到国家治理各领域各方面各环节。,把方向,谋大局,定政策,促改革,,ABCD
多选题,党的领导是全面的，体现在（   ）。,在领导对象上，党领导人大、政府、政协、监察机关、审判机关、检察机关、武装力量、人民团体、企事业单位、基层群众性自治组织、社会组织等,在领导内容上，党领导经济建设、政治建设、文化建设、社会建设、生态文明建设和国家安全、国防军队、祖国统一、外交工作、党的建设等,在领导过程上，党既制定路线方针政策，又协调各方、督促落实，党的领导贯穿于立法、决策、执行、管理、监督等各项工作之中,在领导方式上，党通过制定大政方针，提出立法建议，推荐重要干部，进行思想宣传，发挥党组织和党员的作用等,,ABCD
单选题,马克思主义的本质属性和鲜明品格是（   ）。,先进性,时代性,人民性,实践性,,C
单选题,人民是创造历史的真正动力，是历史发展和社会进步的（   ）。,主体力量,根本力量,重要力量,真正力量,,A
单选题,社会变革的决定性力量是（   ），历史上一切生产关系的深刻变革、社会制度的兴亡更替，都是其推动的。,工人阶级,无产阶级,人民群众,科学技术,,C
单选题,我们党立于不败之地、从胜利走向胜利的根本原因是（   ）。,始终同人民在一起,为人民利益而奋斗,紧紧依靠人民创造历史伟业,以上都是,,D
单选题,（   ）是一个政党观察、认识、处理政治问题的立足点，反映了这个政党的世界观、方法论和执政理念，体现了这个政党的根本属性。,政治立场,人民立场,阶级立场,民族立场,,A
单选题,（   ）是我们党的生命之根、执政之基、力量之源。,中国共产党,人民,军队,党员干部,,B
单选题,习近平指出：“时代是出卷人，我们是答卷人，人民是阅卷人。”表明党的工作的最高裁决者和最终评判者是（   ）。,时代,中国共产党,人民,历史,,C
单选题,（   ）是我们党的生命线和根本工作路线，是我们党永葆青春活力和战斗力的重要传家宝。,政治路线,群众路线,军事路线,统一战线,,B
单选题,（   ）是获得真知灼见的源头活水，是贯彻群众路线的有效途径。,理论创新,调查研究,数据分析,批评与自我批评,,B
单选题,（   ）是社会主义的本质要求，是中国式现代化的重要特征。,全面小康,共同富裕,改革开放,经济发展,,B
单选题,（   ）中把实现人的自由而全面发展作为共产主义的本质特征。,《共产党宣言》,《德意志意识形态》,《资本论》,《反杜林论》,,A
多选题,人民立场是中国共产党的根本政治立场。坚持人民立场要做到（   ）。,始终牢记党的初心和使命,始终保持党同人民群众的血肉联系,热爱人民、尊重人民、敬畏人民,始终做到人民说什么就做什么,,ABC
多选题,扎实推动共同富裕，要把握好（   ）的原则。,鼓励勤劳创新致富,坚持基本经济制度,量力而行、循序渐进,一蹴而就、整齐划一,,ABC
多选题,如何认识人民群众在历史上的作用，是社会历史观的重大问题。历史唯物主义群众史观认为（   ）。,人民群众是社会物质财富的创造者,人民群众是社会精神财富的创造者,人民群众是社会变革的决定力量,历史都是由伟人、帝王将相等少数精英人士所创造的,,ABC
多选题,评价党员干部的工作成效，不仅要看纸面上指标数据，更要看（   ）。,人民生活好不好,民生是否改善,生态是否良好,社会是否进步,,ABCD
多选题,习近平指出：“群众路线是我们党的生命线和根本工作路线，是我们党永葆青春活力和战斗力的重要传家宝。”党的群众路线的内容是（   ）。,一切为了群众，一切依靠群众,从群众中来到群众中去,把党的正确主张变为群众的自觉行动,把群众路线贯彻到治国理政全部活动之中,,ABCD
多选题,习近平指出：“现代化的最终目标是实现人的自由而全面的发展。”要提高整个社会的文明程度和人民的（   ），让每一个人都获得发展自我和奉献社会的机会，促进物的全面丰富和人的全面发展达到一个新的更高的境界。,思想道德素质,科学文化素质,身心健康素质,吃苦奉献素质,,ABC
单选题,正确处理改革、发展、稳定关系的重要结合点是（   ）。,不断促进社会和谐,改善人民生活,促进经济社会发展,保持社会良性运行,,B
单选题,习近平总书记指出：“实践发展永无止境，解放思想永无止境，改革开放也永无止境，改革开放只有进行时、没有完成时”。改革开放的鲜明特征和首要任务是（   ）。,解放思想,解放和发展社会生产力,解放和增强社会活力,解决社会基本矛盾,,B
单选题,全面深化改革的总目标是（   ）。,推进国家治理体系和治理能力现代化,完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化,进一步解放思想、发展社会生产力,以现代化全面推进中华民族伟大复兴,,B
单选题,新时代坚持和发展中国特色社会主义的根本动力是（   ）。,解放和发展生产力,优化体制机制,全面深化改革开放,市场经济,,C
单选题,全面深化改革是一场深刻而全面的社会变革，涉及经济社会发展各方面、各个领域，每一项改革都牵一发而动全身，对经济社会发展产生多方面影响。这要求改革开放必须（   ）。,加强顶层设计和摸着石头过河相结合,增强全面社会改革的系统性、整体性、协同性,胆子要大、步子要稳,坚持重大改革于法有据,,B
单选题,只有进一步（   ），才能找准深化改革开放的着力点，以创新的思维和办法解决前进中的问题。,解放思想,理论创新,制度创新,科技创新,,A
单选题,改革开放永无止境是（   ）规律的深刻反映。,社会基本矛盾运动,生产力发展,生产关系变革,经济基础适应上层建筑,,A
单选题,（   ）是运用国家制度管理社会各方面事务的能力。,党的执政能力,现代化建设能力,国家治理能力,国家管理能力,,C
单选题,治理国家，（   ）是起根本性、全局性、长远性作用的。,制度,法治,文化,经济,,A
单选题,推进改革的目的是要不断推进我国社会主义制度自我完善和发展，赋予社会主义新的生机活力。这里面最核心的是（   ），偏离了这一条，那就南辕北辙了。,坚持和改善党的领导、坚持和完善中国特色社会主义制度,调整生产关系以适应生产力发展的新要求,调整上层建筑以适应经济基础发展的新要求,完善各领域各方面的制度机制,,A
多选题,新时代统筹推进各领域各方面改革开放，必须（   ），使各方面改革协同推进、环环相扣、形成合力。,以全面深化改革总目标为引领,以制度建设为主线,以经济体制改革为重点,以重要领域和关键环节改革为突破口,,ABCD
多选题,习近平总书记指出：“这‘三个进一步解放’既是改革的目的，又是改革的条件。”这“三个进一步解放”是指（   ）。,进一步解放思想,进一步解放和发展生产力,进一步解放和增强社会活力,进一步解放和释放生产要素活力,,ABC
多选题,党的十八大以来，我国坚定不移扩大对外开放，实行更加积极主动的开放战略。主要有（   ）。,坚持对内对外开放相互促进、“引进来”和“走出去”相结合,推动贸易和投资自由化便利化,构建面向全球的高标准自由贸易区网络,共建“一带一路”成为当今世界深受欢迎的国际公共产品和国际合作平台,,ABCD
多选题,全面深化改革开放要充分运用法治思维和法治方式，积极发挥法治（   ）改革的作用。,引导,推动,规范,保障,,ABCD
多选题,2021年是中国加入世界贸易组织20周年。经过20多年的改革开放伟大实践，中国已成为50多个国家和地区的最大贸易伙伴、120多个国家和地区的前三大贸易伙伴。中国入世20多年的历史充分证明（   ）。,我国经济已经实现了由高速增长向高质量发展转变,以开放促改革、促发展是我国现代化建设的重要法宝,坚持开放合作才能获得更多发展机遇和更大发展空间,我国是多边贸易体制的坚定支持者、积极参与者和重要贡献者,,BCD
单选题,（   ）是新时代我国经济社会发展的鲜明主题，是全面建设社会主义现代化国家的首要任务。,经济快速发展,高质量发展,供给侧结构性改革,坚持和发展中国特色社会主义,,B
单选题,（   ）是实现高质量发展的指导原则。,新发展阶段,新发展方位,新发展理念,新发展道路,,C
单选题,构建高水平社会主义市场经济体制，关键是要（   ）。,处理好政府和市场的关系,处理好当前利益和长远利益的关系,处理好中国和外国的关系,处理好效率和公平的关系,,A
单选题,党的十八大以来，我国经济已由高速增长阶段转向（   ）阶段。,中高速发展,高水平发展,创新发展,高质量发展,,D
单选题,（   ）是引领发展的第一动力。,改革,解放思想,科技,创新,,D
单选题,全面建成小康社会、实现第一个百年奋斗目标之后，我们要乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个（   ）。,新发展时期,新发展方位,新发展阶段,新发展时代,,C
单选题,新时代抓发展，必须更加突出发展理念，坚定不移贯彻（   ）的新发展理念。,改革、和谐、绿色、开放、共享,创新、协调、和谐、开放、共赢,创新、和谐、绿色、开放、发展,创新、协调、绿色、开放、共享,,D
单选题,构建（   ）是根据我国发展阶段、发展环境、条件变化，特别是基于我国比较优势变化，审时度势作出的重大决策，是推动高质量发展的战略基点，是关系我国发展全局的重大战略任务。,新发展理念,新发展格局,新发展阶段,新发展时期,,B
单选题,（   ）是中国特色社会主义制度的重要支柱，是新时代推动实现高质量发展的制度基础。,会主义市场经济体制,社会主义基本经济制度,现代化经济体系,收入分配制度,,B
单选题,构建新发展格局最本质的特征是（   ）。,实现高质量发展,实现全面协调发展,实现高水平科技自立自强,实现可持续发展,,C
单选题,构建新发展格局，要坚持把发展经济的着力点放在（   ）上。,实体经济,虚拟经济,数字经济,新兴经济,,A
多选题,新发展阶段是（   ）。,我国社会主义初级阶段历史进程中的一个重要阶段,中国共产党带领人民迎来从站起来、富起来到强起来历史性跨越的新阶段,全面建设社会主义现代化国家、向第二个百年奋斗目标进军的重要阶段。,决胜全面小康社会的阶段,,ABC
多选题,高质量发展是（   ）。,能够很好满足人民日益增长的美好生活需要的发展,体现新发展理念的发展,又快又好的发展,改革和科技共同驱动的发展,,AB
多选题,共享发展注重的是解决社会公平正义问题，必须坚持（   ），不断推进全体人民共同富裕。,全民共享,共建共享,全面共享,渐进共享,,ABCD
多选题,社会主义基本经济制度包括（   ）。,公有制为主体、多种所有制经济共同发展,按劳分配为主体、多种分配方式并存,社会主义市场经济体制,现代企业制度,,ABC
多选题,建设（   ）的高标准市场体系，是充分发挥我国超大规模市场优势的现实需要和必然选择。,统一开放,竞争有序,制度完备,治理完善,,ABCD
多选题,大力推动构建新发展格局，要着力（   ）。,推动实施扩大内需战略同深化供给侧结构性改革有机结合,发展实体经济,加快科技自立自强,推动产业链供应链优化升级,,ABCD
单选题,（   ）、科技、人才是全面建设社会主义现代化国家的基础性、战略性支撑。,法治,教育,改革,就业,,B
单选题,全面建设社会主义现代化国家，教育是根本，（   ）是关键，人才是基础。,科技,富裕,技术,生命,,A
单选题,人才强国战略，就是要牢固树立（   ）资源是第一资源的理念。,发展,科技,教育,人才,,D
单选题,（   ）在国家发展全局中居于核心位置。,教育,科技,发展,创新,,D
单选题,（   ）是推动党和国家各项事业发展的重要先手棋。,军事优先发展,经济优先发展,社会优先发展,教育优先发展,,D
单选题,（   ）是各级各类教育的生命线。,教师能力,高质量发展,教育公平,服务经济社会发展,,B
单选题,育人的根本在于（   ）。,修身,齐家,立德,发展,,C
单选题,教育无论发展到什么程度，第一位的是（   ），引导学生树立正确的世界观、人生观、价值观，全面发展、学有所长，培养出党和国家需要、对社会有用的人。,铸魂育人,以文化人,立德树人,培根铸魂,,C
单选题,（   ）是落实立德树人根本任务的关键课程，要坚持不懈传播马克思主义科学理论，用党的创新理论武装学生，不断提高学生思想水平、政治觉悟、道德品质。,思想政治理论课,育人工程课,专业课,社会实践课,,A
单选题,（   ）是发展教育的根本尺度。,社会需要,国家需要,人民满意,岗位满意,,C
多选题,现代化强国，必定是（   ）。,教育强国,科技强国,人才强国,经济强国,,ABC
多选题,实施（   ），是增强综合国力、满足人民群众美好生活需要的必然要求。,科教兴国战略,金融强国战略,人才强国战略,创新驱动发展战略,,ACD
多选题,要在全社会树立科学的（   ），加快扭转教育功利化倾向，形成健康的教育环境和生态。,价值观,人才观,成才观,教育观,,BCD
多选题,自主创新，就是从增强国家创新能力出发，加强（   ），确保国家拥有自主可控的科技创新能力。,原始创新,集成创新,多元创新,开放创新,,ABD
多选题,全面建设社会主义现代化国家，必须坚持党管人才原则，（   ），培养造就大批德才兼备的高素质人才，聚天下英才而用之，推动我国由人才大国迈向人才强国。,尊重劳动,尊重知识,尊重人才,尊重创造,,ABCD
单选题,（   ）是社会主义民主政治的本质特征。,民主集中制,人民当家作主,人民代表大会制度,中国共产党的领导,,B
单选题,（   ）是社会主义生命，没有民主就没有社会主义，就没有社会主义的现代化。,人民民主,人民当家作主,以人民为中心,坚持人民的主体地位,,A
单选题,（   ）是发展全过程人民民主的根本保证。,人民当家作主,中国特色社会主义制度,人民民主专政,中国共产党的领导,,D
单选题,全过程人民民主是社会主义民主政治的（   ）。,本质特征,本质体现,本质属性,本质要求,,C
单选题,统战工作的本质要求是（   ），解决的就是人心和力量问题。,求同存异,坚持中国共产党领导,多交朋友、广交朋友,大团结大联合,,D
单选题,（   ）是中国社会主义民主政治中独特的、独有的、独到的民主形式。,选举民主,基层民主,协商民主,直接民主,,C
单选题,（   ）是实现我国全过程人民民主的重要制度载体。,多党合作与政治协商制度,民族区域自治制度,人民代表大会制度,基层群众自治制度,,C
单选题,习近平指出，全过程人民民主是（   ）民主。,全链条、全覆盖、全方面,全参与、全覆盖、全方位,全链条、全覆盖、全内容,全链条、全覆盖、全方位,,D
单选题,习近平强调:“民主不是装饰品，不是用来做摆设的，而是要用来解决人民需要解决的问题的。”这段话揭示了全过程人民民主是（   ）的民主。,全链条,最真实,最广泛,最管用,,D
单选题,下列关于全过程人民民主的阐述，不正确的是（   ）。,全过程人民民主是最广泛的民主,全过程人民民主是最真实的民主,全过程人民民主是最管用的民主,全过程人民民主是最是在的民主,,D
单选题,全过程人民民主是新时代我国民主政治领域具有重大创新意义的标志性成果。这一说法（   ）。,正确,错误,,,,A
多选题,习近平在2021年8月召开的中央民族工作会议上发表重要讲话指出，铸牢中华民族共同体意识，就是要引导各族人民牢固树立（   ）的共同体理念。,休戚与共,荣辱与共,生死与共,命运与共,,ABCD
多选题,新时期爱国统一战线是由中国共产党领导的、以工农联盟为基础的，包括（   ）的广泛的爱国统一战线。,全体社会主义劳动者,社会主义事业的建设者,拥护社会主义的爱国者,拥护祖国统一和致力于中华民族伟大复兴的爱国者,,ABCD
多选题,全过程人民民主，彰显了我国人民民主的鲜明特色和显著优势，实现了（   ）相统一。,过程民主和成果民主,程序民主和实质民主,直接民主和间接民主,人民民主和国家意志,,ABCD
多选题,习近平在庆祝全国人民代表大会成立60周年大会上讲话中提出，评价一个国家政治制度是不是民主、有效的，主要看（   ）。,国家领导层能否依法有序更替,人民群众能否畅通表达利益要求,国家决策能否实现科学化、民主化,执政党能否依照宪法法律规定实现对国家事务的领导,,ABCD
多选题,我国基层民主有多种多样的形式，主要包括（   ）。,以村民委员会为组织形态的农村村民自治,以社区居民委员会为组织形态的城市居民自治,以职工代表大会为组织依托的企事业单位职工自治,以少数民族聚居区自治机关为组织形态的民族区域自治,,ABC
多选题,在我国，保证人民当家作主的基本政治制度有（   ）。,人民代表大会制度,基层群众自治制度,民族区域自治制度,多党合作和政治协商制度,,BCD
单选题,中国特色社会主义法治道路是全面依法治国的唯一正确道路。这条道路是由（   ）所决定的，本质上是中国特色社会主义道路在法治领域的具体体现。,我国社会主义国家性质,人民代表大会制,中国共产党领导,社会主义初级阶段基本国情,,A
单选题,（   ）是中国特色社会主义法治之魂，是我们的法治同西方资本主义国家的法治最大的区别。,坚持中国共产党的领导,坚持以人民为中心,坚持法律面前人人平等,坚持依法治国与以德治国相结合,,A
单选题,全面依法治国的总抓手是（   ）。,严格执法,建设中国特色社会主义法治体系,公正司法,坚持中国共产党的领导,,B
单选题,（   ）是社会主义法治最根本的保证。,中国特色社会主义制度,中国共产党的领导,严密的法治监督体系,全面深化改革,,B
单选题,法治监督体系以（   ）为重点。,规范和约束公权力的运行,思想教育,制度建设,关键少数,,A
